time,open,high,low,close,volume
2025-06-12 09:00:00,1273.05,1274.18,1243.46,1261.52,7309
2025-06-12 13:00:00,1261.7,1269.46,1255.12,1265.18,8482
2025-06-12 17:00:00,1265.48,1293.37,1264.39,1290.65,8330
2025-06-12 21:00:00,1290.65,1297.23,1288.61,1297.06,4124
2025-06-13 01:00:00,1293.49,1305.53,1271.13,1294.34,7489
2025-06-13 05:00:00,1294.26,1296.49,1280.12,1284.83,7725
2025-06-13 09:00:00,1284.84,1289.41,1267.95,1276.34,7215
2025-06-13 13:00:00,1276.4,1278.54,1223.33,1223.91,8759
2025-06-13 17:00:00,1223.93,1229.52,1212.59,1228.18,8395
2025-06-13 21:00:00,1228.23,1229.75,1225.06,1225.61,4595
2025-06-16 01:00:00,1226.38,1244.32,1224.93,1231.47,7807
2025-06-16 05:00:00,1231.48,1239.69,1230.61,1234.93,7611
2025-06-16 09:00:00,1234.75,1254.03,1229.12,1247.7,6415
2025-06-16 13:00:00,1247.75,1272.68,1244.82,1263.7,8257
2025-06-16 17:00:00,1263.72,1274.07,1252.28,1253.33,8335
2025-06-16 21:00:00,1253.18,1254.46,1244.45,1248.97,4159
2025-06-17 01:00:00,1245.25,1251.41,1234.45,1251.27,7822
2025-06-17 05:00:00,1251.28,1257.34,1240.08,1248.27,8093
2025-06-17 09:00:00,1247.71,1264.26,1241.63,1261.5,6539
2025-06-17 13:00:00,1261.3,1274.1,1251.77,1256.12,8837
2025-06-17 17:00:00,1256.58,1269.35,1253.0,1266.05,8212
2025-06-17 21:00:00,1265.98,1267.04,1261.91,1261.91,4549
2025-06-18 01:00:00,1260.02,1266.92,1247.46,1264.92,6988
2025-06-18 05:00:00,1264.93,1275.18,1261.36,1273.76,7193
2025-06-18 09:00:00,1273.91,1280.77,1263.22,1277.71,6473
2025-06-18 13:00:00,1277.7,1311.71,1277.7,1310.67,8635
2025-06-18 17:00:00,1310.83,1325.44,1303.8,1321.54,6960
2025-06-18 21:00:00,1321.61,1327.36,1313.06,1318.24,4818
2025-06-19 01:00:00,1319.36,1349.03,1317.6,1342.56,7198
2025-06-19 05:00:00,1341.92,1345.99,1332.38,1337.51,6050
2025-06-19 09:00:00,1337.05,1337.49,1275.35,1292.65,6968
2025-06-19 13:00:00,1292.63,1299.34,1270.73,1273.06,7679
2025-06-19 17:00:00,1273.07,1274.21,1272.46,1274.21,48
2025-06-20 01:00:00,1304.08,1320.87,1290.54,1291.06,6749
2025-06-20 05:00:00,1291.14,1300.77,1278.86,1282.36,7091
2025-06-20 09:00:00,1282.23,1295.22,1271.23,1292.69,6879
2025-06-20 13:00:00,1292.87,1294.35,1259.74,1270.74,8070
2025-06-20 17:00:00,1270.75,1277.73,1262.11,1263.87,7958
2025-06-20 21:00:00,1263.97,1269.38,1259.96,1263.8,4410
2025-06-23 01:00:00,1265.8,1270.35,1244.93,1260.18,8047
2025-06-23 05:00:00,1259.95,1276.73,1258.11,1264.47,7026
2025-06-23 09:00:00,1264.48,1300.91,1264.01,1288.49,7369
2025-06-23 13:00:00,1288.4,1296.92,1282.88,1293.84,8443
2025-06-23 17:00:00,1292.29,1303.37,1284.82,1293.52,8371
2025-06-23 21:00:00,1293.55,1297.39,1286.53,1292.11,4741
2025-06-24 01:00:00,1293.09,1300.17,1284.49,1294.56,7614
2025-06-24 05:00:00,1294.57,1297.95,1280.83,1286.26,7504
2025-06-24 09:00:00,1286.05,1320.31,1277.87,1308.64,7292
2025-06-24 13:00:00,1308.6,1313.43,1277.07,1283.98,8483
2025-06-24 17:00:00,1283.82,1317.1,1280.73,1315.94,7911
2025-06-24 21:00:00,1315.94,1324.11,1311.04,1315.5,3980
2025-06-25 01:00:00,1315.0,1320.84,1309.65,1318.22,6262
2025-06-25 05:00:00,1318.56,1326.69,1313.34,1323.33,7392
2025-06-25 09:00:00,1322.93,1325.81,1302.49,1304.69,7655
2025-06-25 13:00:00,1304.75,1316.16,1297.11,1313.81,8691
2025-06-25 17:00:00,1313.57,1353.57,1311.71,1353.5,8752
2025-06-25 21:00:00,1353.51,1367.42,1346.17,1353.31,4616
2025-06-26 01:00:00,1350.59,1383.86,1350.0,1379.03,6818
2025-06-26 05:00:00,1380.39,1390.78,1374.83,1379.86,7674
2025-06-26 09:00:00,1378.62,1415.27,1371.72,1406.32,7388
2025-06-26 13:00:00,1406.32,1408.15,1375.52,1380.34,9362
2025-06-26 17:00:00,1379.97,1431.57,1378.3,1429.44,10076
2025-06-26 21:00:00,1429.46,1433.2,1410.18,1419.76,6394
2025-06-27 01:00:00,1423.8,1435.44,1383.42,1383.57,6964
2025-06-27 05:00:00,1383.74,1401.86,1378.9,1393.26,7558
2025-06-27 09:00:00,1392.61,1394.99,1351.31,1356.16,7377
2025-06-27 13:00:00,1356.16,1362.81,1323.58,1333.85,8757
2025-06-27 17:00:00,1333.64,1350.3,1333.15,1341.99,7724
2025-06-27 21:00:00,1342.08,1343.37,1335.37,1337.58,4081
2025-06-30 01:00:00,1345.54,1355.22,1324.98,1349.82,7610
2025-06-30 05:00:00,1349.78,1369.44,1349.38,1369.23,7328
2025-06-30 09:00:00,1368.43,1375.74,1356.72,1362.26,8249
2025-06-30 13:00:00,1362.28,1367.67,1337.67,1338.38,8960
2025-06-30 17:00:00,1337.87,1339.95,1322.21,1339.28,8455
2025-06-30 21:00:00,1339.28,1356.49,1338.13,1356.16,4296
2025-07-01 01:00:00,1358.53,1372.64,1349.37,1350.01,6787
2025-07-01 05:00:00,1349.91,1359.14,1340.66,1351.48,6932
2025-07-01 09:00:00,1351.3,1351.59,1327.57,1340.47,9444
2025-07-01 13:00:00,1340.48,1362.03,1338.75,1357.54,9440
2025-07-01 17:00:00,1357.38,1357.38,1330.9,1346.93,8868
2025-07-01 21:00:00,1346.98,1357.62,1345.93,1353.67,4245
